Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2021,"Brandon Lowe","TBR",615,39,99,0.246728971,0.523364485,"Brandon Lowe",18882,664040
2018,"Matt Carpenter","STL",677,36,81,0.257092198,0.523049645,"Matt Carpenter",8090,572761
2019,"Jay Bruce","- - -",333,26,59,0.216129032,0.522580645,"Jay Bruce",9892,457803
2018,"Xander Bogaerts","BOS",580,23,103,0.288499025,0.522417153,"Xander Bogaerts",12161,593428
2021,"Bryan Reynolds","PIT",646,24,90,0.302325581,0.522361359,"Bryan Reynolds",19326,668804
2023,"Jose Altuve","HOU",410,17,51,0.311111111,0.522222222,"Jose Altuve",5417,514888
2017,"Matt Adams","- - -",367,20,65,0.274336283,0.522123893,"Matt Adams",9393,571431
2019,"Marcus Semien","OAK",747,33,92,0.284627092,0.522070015,"Marcus Semien",12533,543760
2019,"Hunter Dozier","KCR",586,26,84,0.279158699,0.521988527,"Hunter Dozier",15117,641531
2023,"Yandy Díaz","TBR",600,22,78,0.329523809,0.521904761,"Yandy Diaz",16578,650490
2017,"George Springer","HOU",629,34,85,0.282846715,0.52189781,"George Springer",12856,543807
2021,"Brandon Crawford","SFG",549,24,90,0.298136645,0.52173913,"Brandon Crawford",5343,543063
2015,"David Peralta","ARI",517,17,78,0.311688311,0.521645021,"David Peralta",2136,444482
2021,"Franmil Reyes","CLE",466,30,85,0.253588516,0.5215311,"Franmil Reyes",14566,614177
2018,"Joc Pederson","LAD",443,25,56,0.248101265,0.521518987,"Joc Pederson",11899,592626
2016,"Adrián Beltré","TEX",640,32,104,0.300171526,0.521440823,"Adrian Beltre",639,134181
2016,"Evan Longoria","TBR",685,36,98,0.273301737,0.521327014,"Evan Longoria",9368,446334
2021,"Corey Seager","LAD",409,16,57,0.305949008,0.521246458,"Corey Seager",13624,608369
2017,"Lonnie Chisenhall","CLE",270,12,53,0.288135593,0.52118644,"Lonnie Chisenhall",7571,502082
